Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
138,1620295611670,0.07,-0.559,-0.59
139,1620295611670,-0.04,-0.577,-0.563
140,1620295611670,-0.05,-0.528,-0.557
141,1620295611675,-0.07,-0.569,-0.557
142,1620295611675,-0.09,-0.542,-0.528
143,1620295611675,0.01,-0.555,-0.582
144,1620295611676,0.01,-0.591,-0.567
145,1620295611678,-0.06,-0.538,-0.547
146,1620295611679,0.01,-0.562,-0.566
147,1620295611679,-0.13,-0.548,-0.536
148,1620295611679,-0.01,-0.546,-0.575
149,1620295611679,0.0,-0.589,-0.57
150,1620295611679,-0.09,-0.556,-0.533
151,1620295611680,0.0,-0.541,-0.576
152,1620295611680,-0.03,-0.56,-0.552
153,1620295611680,-0.02,-0.547,-0.565
154,1620295611680,0.01,-0.588,-0.579
155,1620295611680,-0.13,-0.56,-0.527
156,1620295611680,-0.05,-0.534,-0.568
157,1620295611681,-0.02,-0.572,-0.552
158,1620295611681,-0.04,-0.546,-0.552
159,1620295611681,0.06,-0.573,-0.595
160,1620295611681,-0.06,-0.567,-0.555
161,1620295611681,-0.07,-0.528,-0.554
162,1620295611681,-0.06,-0.567,-0.558
163,1620295611681,-0.05,-0.546,-0.54
164,1620295611681,0.07,-0.561,-0.587
165,1620295611681,0.0,-0.58,-0.565
166,1620295611682,-0.1,-0.526,-0.546
167,1620295611682,-0.02,-0.566,-0.565
168,1620295611682,-0.1,-0.552,-0.541
169,1620295611682,0.01,-0.548,-0.585
170,1620295611682,0.0,-0.585,-0.565
171,1620295611682,-0.1,-0.542,-0.528
172,1620295611682,0.01,-0.542,-0.577
173,1620295611682,-0.05,-0.57,-0.553
174,1620295611682,0.0,-0.547,-0.575
175,1620295611683,-0.02,-0.581,-0.571
176,1620295611683,-0.1,-0.549,-0.521
177,1620295611683,-0.02,-0.529,-0.576
178,1620295611683,-0.01,-0.571,-0.562
179,1620295611683,-0.03,-0.532,-0.558
180,1620295611683,0.05,-0.588,-0.59
181,1620295611683,-0.1,-0.563,-0.53
182,1620295611683,-0.07,-0.523,-0.56
183,1620295611683,-0.02,-0.574,-0.556
184,1620295611683,-0.06,-0.542,-0.55
185,1620295611683,0.07,-0.573,-0.59
186,1620295611683,-0.06,-0.567,-0.553
187,1620295611683,-0.09,-0.525,-0.551
188,1620295611683,-0.02,-0.57,-0.558
189,1620295611683,-0.09,-0.54,-0.532
