Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
601,1620295611833,-0.1,-0.541,-0.54
602,1620295611891,-0.03,-0.547,-0.563
603,1620295611949,-0.1,-0.557,-0.549
604,1620295612006,0.01,-0.538,-0.575
605,1620295612063,0.0,-0.593,-0.569
606,1620295612122,-0.09,-0.55,-0.532
607,1620295612178,-0.01,-0.552,-0.571
608,1620295612239,-0.05,-0.559,-0.554
609,1620295612296,-0.03,-0.551,-0.571
610,1620295612355,0.03,-0.578,-0.584
611,1620295612412,-0.09,-0.565,-0.55
612,1620295612471,-0.02,-0.537,-0.562
613,1620295612529,-0.01,-0.557,-0.552
614,1620295612588,-0.13,-0.545,-0.549
615,1620295612644,0.07,-0.571,-0.592
616,1620295612703,-0.09,-0.575,-0.555
617,1620295612762,-0.05,-0.545,-0.552
618,1620295612820,-0.03,-0.573,-0.544
619,1620295612877,-0.09,-0.547,-0.535
620,1620295612935,0.07,-0.56,-0.583
621,1620295612992,-0.04,-0.577,-0.573
622,1620295613052,-0.04,-0.548,-0.556
623,1620295613109,-0.04,-0.575,-0.56
624,1620295613169,-0.09,-0.546,-0.537
625,1620295613225,0.0,-0.533,-0.568
626,1620295613284,0.01,-0.591,-0.573
627,1620295613342,-0.1,-0.551,-0.548
628,1620295613400,-0.02,-0.558,-0.57
629,1620295613455,-0.12,-0.546,-0.54
630,1620295613517,-0.01,-0.54,-0.56
631,1620295613574,0.07,-0.591,-0.57
632,1620295613632,-0.06,-0.572,-0.556
633,1620295613690,0.03,-0.554,-0.58
634,1620295613748,-0.1,-0.547,-0.545
635,1620295613806,-0.07,-0.542,-0.553
636,1620295613863,0.05,-0.571,-0.582
637,1620295613922,-0.05,-0.575,-0.552
638,1620295613979,0.0,-0.542,-0.561
639,1620295614038,-0.02,-0.575,-0.546
640,1620295614095,-0.1,-0.551,-0.547
641,1620295614154,0.06,-0.57,-0.587
642,1620295614210,-0.1,-0.573,-0.562
643,1620295614270,-0.04,-0.536,-0.558
644,1620295614328,-0.04,-0.569,-0.551
645,1620295614387,-0.07,-0.538,-0.538
646,1620295614444,0.06,-0.556,-0.581
647,1620295614501,0.0,-0.589,-0.574
648,1620295614559,-0.1,-0.538,-0.549
649,1620295614618,-0.03,-0.563,-0.561
650,1620295614676,-0.12,-0.546,-0.539
651,1620295614732,0.01,-0.548,-0.575
652,1620295614791,0.02,-0.586,-0.573
653,1620295614849,-0.12,-0.552,-0.542
654,1620295614906,0.01,-0.545,-0.569
655,1620295614964,-0.05,-0.56,-0.551
656,1620295615020,0.0,-0.556,-0.571
657,1620295615080,0.0,-0.583,-0.576
658,1620295615136,-0.13,-0.555,-0.533
659,1620295615195,0.0,-0.531,-0.56
660,1620295615252,0.02,-0.58,-0.573
661,1620295615311,-0.06,-0.561,-0.558
662,1620295615368,0.02,-0.556,-0.586
663,1620295615425,-0.1,-0.55,-0.543
664,1620295615485,-0.07,-0.535,-0.548
665,1620295615542,0.01,-0.582,-0.572
666,1620295615600,-0.03,-0.57,-0.553
667,1620295615658,0.0,-0.552,-0.571
668,1620295615716,-0.02,-0.567,-0.545
669,1620295615773,-0.13,-0.548,-0.55
670,1620295615831,0.07,-0.575,-0.587
671,1620295615890,-0.07,-0.572,-0.555
672,1620295615948,-0.03,-0.543,-0.559
673,1620295616007,-0.02,-0.568,-0.548
674,1620295616064,-0.12,-0.542,-0.535
675,1620295616122,0.07,-0.554,-0.577
676,1620295616179,-0.04,-0.591,-0.568
677,1620295616239,-0.03,-0.557,-0.56
678,1620295616296,-0.02,-0.566,-0.557
679,1620295616356,-0.1,-0.545,-0.529
680,1620295616413,0.0,-0.5,-0.55
681,1620295616470,-0.01,-0.572,-0.567
682,1620295616529,-0.05,-0.522,-0.536
683,1620295616587,0.0,-0.552,-0.553
684,1620295616645,-0.14,-0.548,-0.541
685,1620295616703,-0.02,-0.509,-0.54
686,1620295616760,0.03,-0.588,-0.565
687,1620295616818,-0.07,-0.568,-0.56
688,1620295616875,0.02,-0.568,-0.582
689,1620295616935,-0.09,-0.553,-0.55
690,1620295616993,-0.1,-0.533,-0.552
691,1620295617050,0.02,-0.572,-0.577
692,1620295617109,-0.03,-0.575,-0.558
693,1620295617166,0.01,-0.55,-0.57
694,1620295617223,-0.01,-0.567,-0.547
695,1620295617283,-0.1,-0.546,-0.546
696,1620295617338,0.02,-0.568,-0.585
697,1620295617398,-0.07,-0.58,-0.561
698,1620295617454,-0.03,-0.543,-0.557
699,1620295617514,-0.03,-0.581,-0.551
700,1620295617573,-0.09,-0.55,-0.533
701,1620295617629,0.05,-0.551,-0.577
702,1620295617687,-0.01,-0.586,-0.576
703,1620295617746,-0.05,-0.554,-0.564
704,1620295617804,-0.04,-0.568,-0.565
705,1620295617863,-0.1,-0.547,-0.532
706,1620295617921,0.0,-0.544,-0.569
707,1620295617977,0.02,-0.582,-0.576
708,1620295618036,-0.06,-0.559,-0.547
709,1620295618094,0.01,-0.559,-0.573
710,1620295618152,-0.14,-0.547,-0.54
711,1620295618210,-0.04,-0.543,-0.566
712,1620295618267,0.07,-0.58,-0.573
713,1620295618326,-0.07,-0.57,-0.551
714,1620295618383,0.0,-0.553,-0.573
715,1620295618441,-0.06,-0.554,-0.553
716,1620295618501,-0.09,-0.546,-0.553
717,1620295618556,0.05,-0.579,-0.581
718,1620295618616,-0.09,-0.576,-0.55
719,1620295618674,-0.03,-0.541,-0.559
720,1620295618732,-0.01,-0.575,-0.546
721,1620295618791,-0.1,-0.54,-0.543
722,1620295618848,0.06,-0.57,-0.585
723,1620295618904,-0.05,-0.579,-0.571
724,1620295618964,-0.04,-0.545,-0.557
725,1620295619023,-0.04,-0.538,-0.518
726,1620295619081,-0.13,-0.54,-0.54
727,1620295619138,0.05,-0.517,-0.537
728,1620295619196,0.0,-0.556,-0.548
729,1620295619254,-0.09,-0.529,-0.521
730,1620295619312,-0.03,-0.525,-0.541
731,1620295619371,-0.13,-0.508,-0.521
732,1620295619427,0.0,-0.543,-0.568
733,1620295619486,0.02,-0.589,-0.572
734,1620295619544,-0.1,-0.566,-0.545
735,1620295619601,0.01,-0.543,-0.571
736,1620295619658,-0.09,-0.562,-0.553
737,1620295619718,-0.02,-0.548,-0.563
738,1620295619774,0.02,-0.58,-0.582
739,1620295619833,-0.06,-0.566,-0.548
740,1620295619892,-0.02,-0.534,-0.56
741,1620295619950,-0.04,-0.562,-0.552
742,1620295620009,-0.09,-0.536,-0.546
743,1620295620066,0.06,-0.576,-0.581
744,1620295620123,-0.07,-0.567,-0.552
745,1620295620182,-0.05,-0.547,-0.563
746,1620295620239,-0.02,-0.575,-0.55
747,1620295620299,-0.13,-0.535,-0.533
748,1620295620356,0.06,-0.57,-0.572
749,1620295620414,-0.03,-0.58,-0.571
750,1620295620472,-0.04,-0.55,-0.563
751,1620295620532,-0.02,-0.565,-0.553
752,1620295620589,-0.12,-0.547,-0.535
753,1620295620646,0.03,-0.546,-0.577
754,1620295620703,0.0,-0.586,-0.576
755,1620295620761,-0.06,-0.557,-0.552
756,1620295620821,-0.03,-0.556,-0.568
757,1620295620878,-0.14,-0.548,-0.537
758,1620295620936,0.01,-0.535,-0.565
759,1620295620994,0.02,-0.59,-0.576
760,1620295621052,-0.06,-0.566,-0.545
761,1620295621108,0.01,-0.542,-0.573
762,1620295621166,-0.05,-0.561,-0.556
763,1620295621225,-0.06,-0.543,-0.56
764,1620295621284,0.02,-0.585,-0.588
765,1620295621340,-0.06,-0.565,-0.551
766,1620295621400,-0.03,-0.539,-0.564
767,1620295621456,-0.01,-0.57,-0.547
768,1620295621516,-0.13,-0.541,-0.55
769,1620295621574,0.07,-0.577,-0.588
770,1620295621632,-0.09,-0.574,-0.562
771,1620295621690,-0.05,-0.548,-0.557
772,1620295621748,-0.02,-0.57,-0.549
773,1620295621806,-0.12,-0.545,-0.54
774,1620295621865,0.07,-0.554,-0.586
775,1620295621922,-0.02,-0.583,-0.577
776,1620295621979,-0.05,-0.552,-0.563
777,1620295622038,-0.03,-0.567,-0.561
778,1620295622097,-0.13,-0.553,-0.536
779,1620295622155,0.01,-0.541,-0.567
780,1620295622211,0.0,-0.593,-0.571
781,1620295622271,-0.06,-0.555,-0.547
782,1620295622326,0.0,-0.564,-0.57
783,1620295622385,-0.12,-0.553,-0.547
784,1620295622445,-0.04,-0.538,-0.57
785,1620295622502,0.06,-0.59,-0.573
786,1620295622560,-0.07,-0.57,-0.55
787,1620295622617,-0.02,-0.548,-0.571
788,1620295622676,-0.07,-0.552,-0.549
789,1620295622735,-0.1,-0.537,-0.547
790,1620295622793,0.03,-0.579,-0.576
791,1620295622851,-0.04,-0.571,-0.556
792,1620295622908,0.0,-0.548,-0.571
793,1620295622967,-0.02,-0.567,-0.551
794,1620295623025,-0.13,-0.544,-0.538
795,1620295623081,0.07,-0.567,-0.586
796,1620295623140,-0.09,-0.576,-0.565
797,1620295623199,-0.05,-0.543,-0.552
798,1620295623257,-0.04,-0.57,-0.553
799,1620295623316,-0.09,-0.546,-0.536
800,1620295623373,0.06,-0.547,-0.582
801,1620295623430,0.0,-0.589,-0.576
802,1620295623489,-0.09,-0.551,-0.544
803,1620295623546,-0.03,-0.567,-0.558
804,1620295623605,-0.1,-0.542,-0.54
805,1620295623662,0.0,-0.546,-0.574
806,1620295623718,0.03,-0.592,-0.577
807,1620295623777,-0.09,-0.557,-0.55
808,1620295623835,0.01,-0.546,-0.576
809,1620295623894,-0.12,-0.547,-0.551
810,1620295623952,-0.02,-0.556,-0.571
811,1620295624009,0.03,-0.582,-0.582
812,1620295624067,-0.1,-0.564,-0.547
813,1620295624126,-0.02,-0.545,-0.56
814,1620295624184,-0.04,-0.558,-0.555
815,1620295624241,-0.07,-0.546,-0.557
816,1620295624300,0.06,-0.572,-0.582
817,1620295624358,-0.1,-0.574,-0.551
818,1620295624416,-0.06,-0.538,-0.56
819,1620295624475,-0.02,-0.575,-0.552
820,1620295624533,-0.1,-0.542,-0.538
821,1620295624591,0.02,-0.565,-0.58
822,1620295624648,-0.05,-0.548,-0.549
823,1620295624706,-0.05,-0.541,-0.562
824,1620295624766,-0.04,-0.535,-0.535
825,1620295624824,-0.1,-0.503,-0.513
826,1620295624881,0.02,-0.544,-0.575
827,1620295624936,0.02,-0.587,-0.572
828,1620295624994,-0.09,-0.552,-0.552
829,1620295625052,-0.02,-0.561,-0.569
830,1620295625113,-0.13,-0.542,-0.54
831,1620295625172,-0.01,-0.537,-0.568
832,1620295625228,0.03,-0.584,-0.571
833,1620295625286,-0.07,-0.57,-0.555
834,1620295625345,0.03,-0.552,-0.579
835,1620295625402,-0.13,-0.549,-0.547
836,1620295625461,-0.02,-0.544,-0.566
837,1620295625518,0.05,-0.548,-0.544
838,1620295625577,-0.05,-0.568,-0.557
839,1620295625633,-0.01,-0.523,-0.539
840,1620295625693,-0.06,-0.526,-0.534
841,1620295625752,-0.13,-0.513,-0.527
842,1620295625808,0.02,-0.569,-0.579
843,1620295625867,-0.05,-0.581,-0.561
844,1620295625926,-0.03,-0.546,-0.563
845,1620295625984,-0.01,-0.579,-0.552
846,1620295626041,-0.13,-0.542,-0.535
847,1620295626099,0.02,-0.558,-0.571
848,1620295626158,-0.03,-0.572,-0.568
849,1620295626215,-0.02,-0.552,-0.568
850,1620295626275,-0.01,-0.578,-0.56
851,1620295626333,-0.1,-0.551,-0.533
852,1620295626390,0.01,-0.537,-0.573
853,1620295626448,0.0,-0.575,-0.569
854,1620295626505,-0.06,-0.561,-0.555
855,1620295626564,-0.01,-0.568,-0.576
856,1620295626623,-0.13,-0.558,-0.535
857,1620295626679,0.0,-0.541,-0.558
858,1620295626737,0.01,-0.583,-0.57
859,1620295626796,-0.05,-0.572,-0.547
860,1620295626853,0.02,-0.553,-0.582
861,1620295626910,-0.1,-0.556,-0.549
862,1620295626968,-0.05,-0.541,-0.556
863,1620295627027,0.0,-0.58,-0.574
864,1620295627084,-0.05,-0.567,-0.549
865,1620295627143,-0.01,-0.55,-0.567
866,1620295627201,-0.02,-0.571,-0.545
867,1620295627259,-0.13,-0.535,-0.543
868,1620295627317,0.01,-0.573,-0.578
869,1620295627375,-0.05,-0.568,-0.567
870,1620295627434,-0.04,-0.547,-0.565
871,1620295627491,-0.02,-0.556,-0.548
872,1620295627550,-0.13,-0.538,-0.534
873,1620295627608,0.05,-0.554,-0.573
874,1620295627666,-0.04,-0.575,-0.574
875,1620295627723,-0.01,-0.56,-0.57
876,1620295627783,-0.02,-0.576,-0.565
877,1620295627841,-0.13,-0.558,-0.53
878,1620295627899,0.01,-0.538,-0.568
879,1620295627957,-0.01,-0.585,-0.572
880,1620295628015,-0.02,-0.566,-0.566
881,1620295628073,0.02,-0.57,-0.583
882,1620295628131,-0.12,-0.552,-0.54
883,1620295628188,-0.04,-0.532,-0.561
884,1620295628247,0.01,-0.578,-0.562
885,1620295628304,-0.03,-0.567,-0.553
886,1620295628362,0.06,-0.57,-0.587
887,1620295628420,-0.1,-0.562,-0.545
888,1620295628477,-0.12,-0.526,-0.541
889,1620295628535,0.01,-0.575,-0.571
890,1620295628595,-0.02,-0.571,-0.564
891,1620295628650,0.02,-0.561,-0.582
892,1620295628709,-0.01,-0.573,-0.548
893,1620295628768,-0.14,-0.546,-0.54
894,1620295628825,0.05,-0.566,-0.577
895,1620295628884,-0.06,-0.576,-0.562
896,1620295628941,-0.03,-0.551,-0.56
897,1620295629000,-0.02,-0.582,-0.557
898,1620295629058,-0.12,-0.553,-0.536
899,1620295629115,0.03,-0.551,-0.571
900,1620295629173,-0.01,-0.578,-0.573
901,1620295629233,-0.02,-0.553,-0.57
902,1620295629290,-0.02,-0.576,-0.568
903,1620295629349,-0.1,-0.553,-0.535
904,1620295629407,-0.01,-0.533,-0.563
905,1620295629467,-0.01,-0.576,-0.559
906,1620295629524,-0.05,-0.549,-0.565
907,1620295629582,0.03,-0.588,-0.585
908,1620295629639,-0.1,-0.556,-0.543
909,1620295629698,-0.04,-0.538,-0.556
910,1620295629754,0.01,-0.575,-0.552
911,1620295629814,-0.07,-0.561,-0.552
912,1620295629871,0.09,-0.573,-0.589
913,1620295629929,-0.1,-0.557,-0.557
914,1620295629988,-0.12,-0.531,-0.548
915,1620295630045,0.0,-0.557,-0.565
916,1620295630103,-0.03,-0.573,-0.561
917,1620295630160,0.06,-0.562,-0.586
918,1620295630219,-0.01,-0.576,-0.556
919,1620295630276,-0.13,-0.542,-0.537
920,1620295630335,0.0,-0.551,-0.575
921,1620295630392,-0.06,-0.57,-0.568
922,1620295630451,0.0,-0.545,-0.571
923,1620295630509,-0.03,-0.578,-0.558
924,1620295630567,-0.1,-0.546,-0.532
925,1620295630624,0.01,-0.542,-0.577
926,1620295630681,0.01,-0.582,-0.573
927,1620295630739,-0.07,-0.552,-0.556
928,1620295630798,-0.02,-0.571,-0.56
929,1620295630856,-0.13,-0.548,-0.534
930,1620295630915,-0.01,-0.539,-0.566
931,1620295630972,0.03,-0.575,-0.567
932,1620295631031,-0.06,-0.571,-0.553
933,1620295631088,0.05,-0.56,-0.578
934,1620295631146,-0.13,-0.542,-0.546
935,1620295631204,-0.04,-0.537,-0.562
936,1620295631261,0.01,-0.571,-0.572
937,1620295631320,-0.04,-0.575,-0.555
938,1620295631377,0.0,-0.553,-0.57
939,1620295631435,-0.04,-0.566,-0.55
940,1620295631494,-0.1,-0.546,-0.544
941,1620295631552,0.02,-0.566,-0.579
942,1620295631610,-0.05,-0.575,-0.562
943,1620295631667,-0.05,-0.535,-0.567
944,1620295631727,-0.02,-0.572,-0.55
945,1620295631785,-0.1,-0.537,-0.533
946,1620295631842,0.06,-0.565,-0.575
947,1620295631899,-0.04,-0.553,-0.553
948,1620295631958,-0.03,-0.549,-0.568
949,1620295632017,-0.04,-0.541,-0.539
950,1620295632075,-0.12,-0.547,-0.533
951,1620295632133,0.01,-0.546,-0.575
952,1620295632189,0.02,-0.583,-0.573
953,1620295632248,-0.09,-0.556,-0.554
954,1620295632307,-0.01,-0.556,-0.571
955,1620295632364,-0.14,-0.556,-0.538
956,1620295632421,0.0,-0.537,-0.566
957,1620295632479,0.02,-0.582,-0.577
958,1620295632537,-0.06,-0.567,-0.549
959,1620295632595,0.01,-0.55,-0.578
960,1620295632653,-0.09,-0.561,-0.548
961,1620295632710,-0.05,-0.542,-0.566
962,1620295632769,0.02,-0.587,-0.583
963,1620295632826,-0.05,-0.577,-0.549
964,1620295632884,-0.01,-0.538,-0.561
965,1620295632944,-0.01,-0.57,-0.55
966,1620295633002,-0.14,-0.54,-0.547
967,1620295633059,0.03,-0.569,-0.588
968,1620295633116,-0.05,-0.568,-0.561
969,1620295633177,-0.04,-0.552,-0.569
970,1620295633234,-0.03,-0.576,-0.548
971,1620295633294,-0.13,-0.542,-0.536
972,1620295633350,0.06,-0.558,-0.581
973,1620295633408,-0.04,-0.575,-0.577
974,1620295633467,-0.04,-0.556,-0.556
975,1620295633525,-0.02,-0.568,-0.557
976,1620295633581,-0.12,-0.555,-0.531
977,1620295633640,0.01,-0.544,-0.563
978,1620295633698,0.01,-0.582,-0.577
979,1620295633757,-0.06,-0.564,-0.55
980,1620295633814,0.0,-0.553,-0.577
981,1620295633872,-0.14,-0.553,-0.543
982,1620295633929,-0.02,-0.54,-0.567
983,1620295633988,0.02,-0.589,-0.567
984,1620295634045,-0.06,-0.565,-0.548
985,1620295634104,-0.01,-0.56,-0.574
986,1620295634163,-0.07,-0.563,-0.545
987,1620295634221,-0.12,-0.531,-0.542
988,1620295634278,0.03,-0.578,-0.574
989,1620295634336,-0.04,-0.571,-0.561
990,1620295634393,0.0,-0.55,-0.572
991,1620295634451,0.0,-0.566,-0.544
992,1620295634510,-0.09,-0.556,-0.55
993,1620295634567,0.09,-0.574,-0.592
994,1620295634625,-0.07,-0.57,-0.562
995,1620295634683,-0.07,-0.54,-0.543
996,1620295634742,-0.05,-0.56,-0.552
997,1620295634800,-0.09,-0.55,-0.545
998,1620295634857,0.08,-0.553,-0.582
999,1620295634914,0.0,-0.588,-0.568
1000,1620295634973,-0.12,-0.55,-0.532
1001,1620295635031,-0.03,-0.56,-0.562
1002,1620295635088,-0.09,-0.553,-0.546
1003,1620295635146,0.02,-0.543,-0.575
1004,1620295635204,0.0,-0.592,-0.572
1005,1620295635262,-0.1,-0.555,-0.535
1006,1620295635320,-0.01,-0.545,-0.569
1007,1620295635380,-0.06,-0.555,-0.561
1008,1620295635437,-0.02,-0.553,-0.571
1009,1620295635495,0.05,-0.583,-0.583
1010,1620295635553,-0.1,-0.561,-0.54
1011,1620295635612,-0.01,-0.542,-0.56
1012,1620295635668,-0.05,-0.56,-0.55
1013,1620295635729,-0.1,-0.548,-0.551
1014,1620295635786,0.07,-0.574,-0.591
1015,1620295635843,-0.09,-0.568,-0.553
1016,1620295635901,-0.06,-0.542,-0.563
1017,1620295635960,-0.02,-0.568,-0.546
1018,1620295636019,-0.09,-0.547,-0.538
1019,1620295636075,0.05,-0.565,-0.58
1020,1620295636135,-0.06,-0.59,-0.568
1021,1620295636193,-0.04,-0.546,-0.555
1022,1620295636250,-0.04,-0.57,-0.551
1023,1620295636310,-0.09,-0.551,-0.538
1024,1620295636365,0.05,-0.543,-0.57
1025,1620295636424,0.02,-0.59,-0.572
1026,1620295636481,-0.07,-0.547,-0.547
1027,1620295636540,-0.03,-0.56,-0.573
1028,1620295636599,-0.12,-0.549,-0.537
1029,1620295636656,0.0,-0.54,-0.571
1030,1620295636712,0.03,-0.593,-0.57
1031,1620295636770,-0.09,-0.569,-0.543
1032,1620295636829,0.0,-0.55,-0.571
1033,1620295636888,-0.1,-0.557,-0.551
1034,1620295636946,-0.04,-0.554,-0.563
1035,1620295637003,0.03,-0.581,-0.584
1036,1620295637061,-0.09,-0.571,-0.545
1037,1620295637120,-0.02,-0.536,-0.561
1038,1620295637178,-0.02,-0.57,-0.548
1039,1620295637236,-0.09,-0.551,-0.548
1040,1620295637292,0.06,-0.572,-0.59
1041,1620295637351,-0.07,-0.572,-0.557
1042,1620295637410,-0.05,-0.538,-0.56
1043,1620295637468,-0.04,-0.574,-0.548
1044,1620295637527,-0.06,-0.522,-0.542
1045,1620295637584,0.05,-0.56,-0.582
1046,1620295637643,-0.01,-0.582,-0.574
1047,1620295637699,-0.03,-0.553,-0.563
1048,1620295637760,-0.03,-0.574,-0.551
1049,1620295637816,-0.13,-0.545,-0.535
1050,1620295637875,0.0,-0.542,-0.573
1051,1620295637931,0.03,-0.587,-0.576
1052,1620295637989,-0.07,-0.563,-0.553
1053,1620295638048,0.01,-0.562,-0.569
1054,1620295638105,-0.1,-0.548,-0.546
1055,1620295638164,-0.02,-0.547,-0.57
1056,1620295638220,0.05,-0.568,-0.569
1057,1620295638280,-0.09,-0.573,-0.55
1058,1620295638337,0.0,-0.543,-0.569
1059,1620295638396,-0.07,-0.548,-0.554
1060,1620295638453,-0.06,-0.552,-0.56
1061,1620295638511,0.05,-0.58,-0.586
1062,1620295638570,-0.07,-0.567,-0.552
1063,1620295638628,-0.03,-0.536,-0.565
1064,1620295638686,-0.01,-0.575,-0.548
1065,1620295638745,-0.1,-0.551,-0.54
1066,1620295638801,0.06,-0.577,-0.586
1067,1620295638861,-0.06,-0.572,-0.57
1068,1620295638918,-0.06,-0.55,-0.555
1069,1620295638976,-0.03,-0.567,-0.549
1070,1620295639033,-0.1,-0.54,-0.536
1071,1620295639092,0.03,-0.557,-0.577
1072,1620295639149,0.01,-0.582,-0.57
1073,1620295639209,-0.1,-0.547,-0.551
1074,1620295639266,-0.03,-0.56,-0.559
1075,1620295639324,-0.12,-0.553,-0.54
1076,1620295639380,0.03,-0.55,-0.571
1077,1620295639440,0.01,-0.586,-0.577
1078,1620295639498,-0.09,-0.56,-0.539
1079,1620295639555,0.0,-0.545,-0.572
1080,1620295639613,-0.07,-0.562,-0.554
1081,1620295639670,0.0,-0.55,-0.572
1082,1620295639729,-0.01,-0.584,-0.576
1083,1620295639785,-0.09,-0.56,-0.538
1084,1620295639845,-0.02,-0.532,-0.561
1085,1620295639903,-0.04,-0.557,-0.558
1086,1620295639963,-0.09,-0.51,-0.519
1087,1620295640018,0.05,-0.533,-0.564
1088,1620295640078,-0.1,-0.537,-0.531
1089,1620295640137,-0.09,-0.509,-0.53
1090,1620295640195,-0.01,-0.537,-0.534
1091,1620295640251,-0.1,-0.511,-0.525
1092,1620295640310,0.06,-0.572,-0.588
1093,1620295640368,-0.07,-0.576,-0.572
1094,1620295640426,-0.04,-0.551,-0.557
1095,1620295640485,-0.03,-0.566,-0.546
1096,1620295640544,-0.12,-0.551,-0.54
1097,1620295640600,0.07,-0.547,-0.58
1098,1620295640659,0.01,-0.595,-0.572
1099,1620295640717,-0.07,-0.553,-0.544
1100,1620295640775,-0.04,-0.558,-0.565
1101,1620295640832,-0.12,-0.55,-0.541
1102,1620295640891,-0.01,-0.536,-0.568
1103,1620295640948,0.01,-0.593,-0.572
1104,1620295641008,-0.06,-0.562,-0.55
1105,1620295641065,0.01,-0.558,-0.578
1106,1620295641122,-0.1,-0.553,-0.547
1107,1620295641180,-0.03,-0.54,-0.563
1108,1620295641237,0.03,-0.586,-0.575
1109,1620295641297,-0.04,-0.568,-0.552
1110,1620295641355,-0.01,-0.557,-0.567
1111,1620295641413,-0.05,-0.558,-0.547
1112,1620295641472,-0.13,-0.539,-0.54
1113,1620295641528,0.03,-0.572,-0.581
1114,1620295641586,-0.06,-0.573,-0.556
1115,1620295641645,-0.02,-0.551,-0.569
1116,1620295641703,-0.02,-0.573,-0.55
1117,1620295641763,-0.13,-0.54,-0.54
1118,1620295641819,0.05,-0.55,-0.579
1119,1620295641878,-0.06,-0.576,-0.569
1120,1620295641935,-0.02,-0.558,-0.562
1121,1620295641995,-0.02,-0.583,-0.556
1122,1620295642051,-0.1,-0.555,-0.531
1123,1620295642111,-0.01,-0.54,-0.566
1124,1620295642170,-0.04,-0.57,-0.561
1125,1620295642228,-0.02,-0.532,-0.573
1126,1620295642284,0.01,-0.587,-0.584
1127,1620295642343,-0.1,-0.555,-0.536
1128,1620295642400,-0.02,-0.539,-0.558
1129,1620295642459,0.0,-0.574,-0.557
1130,1620295642517,-0.07,-0.563,-0.557
1131,1620295642575,0.07,-0.577,-0.591
1132,1620295642633,-0.12,-0.553,-0.54
1133,1620295642691,-0.1,-0.537,-0.552
1134,1620295642746,0.01,-0.57,-0.555
1135,1620295642808,-0.04,-0.569,-0.556
1136,1620295642865,0.07,-0.562,-0.586
1137,1620295642923,-0.07,-0.567,-0.555
1138,1620295642979,-0.13,-0.492,-0.518
1139,1620295643040,-0.04,-0.557,-0.56
1140,1620295643098,-0.04,-0.525,-0.527
1141,1620295643154,0.05,-0.538,-0.549
1142,1620295643212,0.0,-0.555,-0.54
1143,1620295643271,-0.13,-0.536,-0.536
1144,1620295643328,0.02,-0.55,-0.581
1145,1620295643386,-0.03,-0.581,-0.575
1146,1620295643445,-0.02,-0.552,-0.57
1147,1620295643503,-0.02,-0.588,-0.563
1148,1620295643561,-0.09,-0.553,-0.53
1149,1620295643620,-0.01,-0.544,-0.565
1150,1620295643678,-0.02,-0.566,-0.567
1151,1620295643734,-0.03,-0.553,-0.565
1152,1620295643794,0.05,-0.589,-0.586
1153,1620295643850,-0.1,-0.567,-0.548
1154,1620295643910,-0.03,-0.532,-0.568
1155,1620295643967,0.0,-0.56,-0.557
1156,1620295644024,-0.09,-0.56,-0.552
1157,1620295644082,0.07,-0.571,-0.593
1158,1620295644141,-0.12,-0.56,-0.55
1159,1620295644199,-0.07,-0.535,-0.545
1160,1620295644258,-0.02,-0.569,-0.557
1161,1620295644316,-0.05,-0.561,-0.548
1162,1620295644373,0.09,-0.562,-0.593
1163,1620295644430,-0.03,-0.579,-0.566
1164,1620295644491,-0.12,-0.534,-0.542
1165,1620295644547,-0.04,-0.564,-0.56
1166,1620295644606,-0.06,-0.552,-0.553
1167,1620295644664,0.05,-0.543,-0.581
1168,1620295644722,0.02,-0.591,-0.572
1169,1620295644780,-0.13,-0.548,-0.537
1170,1620295644837,0.0,-0.553,-0.568
1171,1620295644895,-0.05,-0.562,-0.562
1172,1620295644953,-0.02,-0.555,-0.577
1173,1620295645011,0.01,-0.582,-0.578
1174,1620295645069,-0.09,-0.551,-0.54
1175,1620295645126,0.0,-0.536,-0.566
1176,1620295645184,-0.01,-0.573,-0.567
1177,1620295645244,-0.05,-0.565,-0.559
1178,1620295645300,0.05,-0.576,-0.586
1179,1620295645359,-0.14,-0.556,-0.544
1180,1620295645418,-0.06,-0.525,-0.557
1181,1620295645474,0.01,-0.521,-0.526
1182,1620295645531,-0.03,-0.546,-0.53
1183,1620295645589,0.07,-0.567,-0.592
1184,1620295645649,-0.1,-0.559,-0.553
1185,1620295645706,-0.13,-0.497,-0.51
1186,1620295645764,-0.01,-0.519,-0.552
1187,1620295645824,-0.02,-0.528,-0.533
1188,1620295645881,0.06,-0.56,-0.586
1189,1620295645937,0.0,-0.58,-0.557
1190,1620295645996,-0.14,-0.532,-0.536
1191,1620295646054,0.02,-0.563,-0.577
1192,1620295646112,-0.06,-0.575,-0.567
1193,1620295646171,-0.02,-0.555,-0.574
1194,1620295646229,-0.02,-0.57,-0.562
1195,1620295646287,-0.13,-0.55,-0.535
1196,1620295646345,0.02,-0.546,-0.571
1197,1620295646402,-0.03,-0.566,-0.566
1198,1620295646461,-0.01,-0.556,-0.571
1199,1620295646519,-0.01,-0.581,-0.577
1200,1620295646578,-0.12,-0.561,-0.536
1201,1620295646634,0.0,-0.537,-0.561
1202,1620295646693,0.0,-0.579,-0.57
1203,1620295646750,-0.03,-0.572,-0.567
1204,1620295646807,0.02,-0.567,-0.586
1205,1620295646866,-0.12,-0.553,-0.542
